id;contract_number;card_type;plastic_status;virtual_status;credit_limit;workflow_type;created_at;acquisition_channel;company_type;business_dni_type;business_website;business_foundation_year;city;department;bureau_score;banked_type1;banked_type2;hard_credit_check;number_saving_accounts;number_saving_accounts_alert;bureau_debt;bureau_debt_default;number_current_loans;number_current_loans_default;sherlock_anomaly;sherlock_distrust;sherlock_operator;sherlock_reactivate;sherlock_banked;sherlock_collection;emailage_eascore;onboarding_income;dian_income;lc_judicial_proceedings_against;number_shareholders;tier;os;economic_activity_description;economic_activity_group;number_employees;mora_ultimos_6meses;moroso
338;223;BUSINESS;SECURITY_LOCKED;SECURITY_LOCKED;5000;FAMILY_AND_FRIENDS;17/11/21 16:20;INTERNET;SAS;NIT;tiene;2017;Medellín;Antioquia;618;1;1;1;1;0;0;0;0;0;0.5;0.74;claro;FALSE;0;0;649;;;;1;;Windows;Ingenier√≠a;SERVICIOS;11;0;0
114;81;BUSINESS;ACTIVE;ACTIVE;30000;FAMILY_AND_FRIENDS;13/10/21 10:13;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;702;1;1;2;1;0;0;0;0;0;0.39;0.63;claro;FALSE;0;0;356;;;0;4;;Windows;;;22;13;0
118;79;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;13/10/21 13:13;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;578;1;1;2;2;0;0;0;0;0;0.61;0.72;claro;FALSE;0;0;269;;;;1;;Windows;;;55;3;0
126;80;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;14/10/21 18:51;SOCIAL_NETWORKS;LTDA;NIT;no tiene;2015;Soledad;Atlántico;740;1;1;1;2;0;0;0;0;0;0.46;0.54;claro;FALSE;0;0;554;;;0;2;;Windows;;;12;1;0
42;20;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;10/09/21 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;791;1;1;3;3;0;0;0;0;0;0.56;0.35;claro;FALSE;0;0;508;;;0;3;;Windows;;;66;0;0
164;102;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;26/10/21 9:35;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;811;1;1;2;1;0;0;0;0;0;0.48;0.74;claro;FALSE;0;0;418;;;0;1;;Windows;;;69;1;0
159;99;BUSINESS;CANCELED;CANCELED;10000;FAMILY_AND_FRIENDS;25/10/21 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;696;1;1;1;1;0;0;0;0;0;0.44;0.74;claro;FALSE;0;0;482;;;;2;;Windows;;;33;0;0
138;92;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;20/10/21 22:30;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;654;1;1;1;3;0;0;0;0;0;0.42;0.45;claro;FALSE;0;0;276;;;0;1;;Windows;;;12;0;0
160;100;BUSINESS;CANCELED;CANCELED;20000;FAMILY_AND_FRIENDS;25/10/21 14:42;CREDIT_PROFESSIONAL_CONTACT;SAS;NIT;tiene;2019;Medellín;Antioquia;595;0;0;2;2;0;0;0;0;0;0.43;0.54;claro;FALSE;0;0;430;;;0;2;;Windows;Alimentos y canasta familiar;COMERCIO;62;181;1
136;96;BUSINESS;ACTIVE;ACTIVE;30000;FAMILY_AND_FRIENDS;20/10/21 12:48;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;630;1;1;2;2;0;0;0;0;0;0.54;0.61;claro;FALSE;0;0;698;;;0;1;;Windows;;;10;0;0
152;94;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;21/10/21 17:27;INTERNET;SAS;NIT;no tiene;2019;Medellín;Antioquia;612;1;1;2;3;0;0;0;0;0;0.6;0.5;claro;FALSE;0;0;748;;;;1;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;80;0;0
146;93;BUSINESS;ACTIVE;ACTIVE;7000;FAMILY_AND_FRIENDS;21/10/21 16:27;REFERRER;SAS;NIT;no tiene;2015;Bogotá;Bogotá;827;0;0;1;3;0;0;0;0;0;0.33;0.43;claro;FALSE;0;0;546;;;;1;;Windows;;;25;38;1
189;112;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 14:08;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;535;1;1;2;2;0;0;0;0;0;0.64;0.69;claro;FALSE;0;0;503;;;;2;;Windows;Publicidad;SERVICIOS;45;3;0
172;108;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 12:59;SOCIAL_NETWORKS;SAS;NIT;tiene;2019;Bogotá;Bogotá;692;1;1;1;1;0;0;0;0;0;0.65;0.71;claro;FALSE;0;0;620;;;0;1;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;42;1;0
191;111;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 14:13;EVENTS;SAS;NIT;tiene;2016;Bogotá;Bogotá;822;0;0;3;2;0;0;0;0;0;0.5;0.66;claro;FALSE;0;0;663;;;0;1;;Windows;Software y servicios de internet;SERVICIOS;26;61;1
188;110;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;27/10/21 14:04;SOCIAL_NETWORKS;SAS;NIT;tiene;2015;Medellín;Antioquia;761;1;1;3;3;0;0;0;0;0;0.5;0.57;claro;FALSE;0;0;694;;;0;2;;Windows;Materiales para construcci√≥n;MANUFACTURA;72;1;0
140;98;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;21/10/21 6:51;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;721;1;1;1;2;0;0;0;0;0;0.25;0.61;claro;FALSE;0;0;744;;;0;1;;Windows;;;63;0;0
225;128;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;28/10/21 14:48;COMMERCIAL_ALLY;SAS;NIT;tiene;2012;Bogotá;Bogotá;544;1;1;1;2;0;0;0;0;0;0.53;0.33;claro;FALSE;0;0;690;;;0;2;;Windows;Manufactura de materiales (metal, cemento, vidrio, acero, pl√°stico, caucho);MANUFACTURA;60;3;0
217;124;BUSINESS;CANCELED;CANCELED;2000;FAMILY_AND_FRIENDS;28/10/21 11:46;NEWSPAPERS;SAS;NIT;tiene;2017;Soacha;Cundinamarca;638;0;0;1;2;0;0;0;0;0;0.33;0.65;claro;FALSE;0;0;384;;;0;2;;Windows;Manufactura de materiales (metal, cemento, vidrio, acero, pl√°stico, caucho);MANUFACTURA;76;303;1
165;103;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;26/10/21 10:08;REFERRER;SAS;NIT;no tiene;2015;Pereira;Risaralda;669;1;1;1;1;0;0;0;0;0;0.72;0.61;claro;FALSE;0;0;607;;;0;4;;Windows;;;70;6;0
238;137;BUSINESS;CANCELED;CANCELED;2000;FAMILY_AND_FRIENDS;29/10/21 15:43;COMMUNICATION_MEDIA;SAS;NIT;no tiene;2020;Cali;Valle del cauca;678;0;0;1;1;0;0;0;0;0;0.65;0.58;claro;FALSE;0;0;745;;;0;2;;Windows;;;12;212;1
196;115;BUSINESS;CANCELED;CANCELED;5000;FAMILY_AND_FRIENDS;27/10/21 15:42;INTERNET;SAS;NIT;tiene;2017;Bogotá;Bogotá;655;0;0;2;1;0;0;0;0;0;0.44;0.51;claro;FALSE;0;0;382;;;0;2;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;14;16;1
219;135;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;28/10/21 12:54;INTERNET_ADD;SAS;NIT;tiene;2018;Bogotá;Bogotá;599;1;1;3;2;0;0;0;0;0;0.35;0.43;claro;FALSE;0;0;476;;;;2;;Windows;Alimentos y bebidas;MANUFACTURA;47;5;0
173;126;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 13:06;SOCIAL_NETWORKS;SAS;NIT;tiene;2018;Bogotá;Bogotá;637;1;1;2;3;0;0;0;0;0;0.28;0.54;claro;FALSE;0;0;338;;;;1;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;40;0;0
207;119;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 18:10;GOOGLE_SEARCH;SAS;NIT;tiene;2007;Bogotá;Bogotá;593;0;0;1;3;0;0;0;0;0;0.57;0.45;claro;FALSE;0;0;365;;;0;1;;Windows;Transporte y Log√≠stica;SERVICIOS;14;63;1
208;120;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;10000;FAMILY_AND_FRIENDS;27/10/21 21:22;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;555;0;0;1;1;0;0;0;0;0;0.52;0.43;claro;FALSE;0;0;301;;;0;2;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;51;229;1
216;132;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;28/10/21 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2016;Medellín;Antioquia;715;1;1;2;3;0;0;0;0;0;0.42;0.62;claro;FALSE;0;0;546;;;0;1;;Windows;;;65;11;0
235;150;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;29/10/21 11:46;SOCIAL_NETWORKS;SAS;NIT;tiene;2018;Cota;Cundinamarca;602;0;0;3;1;0;0;0;0;0;0.53;0.66;claro;FALSE;0;0;266;;;0;2;;Windows;Hogar, muebles, electrodom√©sticos y accesorios;COMERCIO;39;0;0
201;148;BUSINESS;ACTIVE;ACTIVE;9000;FAMILY_AND_FRIENDS;27/10/21 16:16;INTERNET;SAS;NIT;tiene;2016;Medellín;Antioquia;787;1;1;3;1;0;0;0;0;0;0.4;0.72;claro;FALSE;0;0;253;;;0;1;;Windows;Software y servicios de internet;SERVICIOS;29;0;0
190;147;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 14:08;INTERNET;SAS;NIT;tiene;2017;Bogotá;Bogotá;647;1;1;3;2;0;0;0;0;0;0.26;0.38;claro;FALSE;0;0;683;;;0;1;;Windows;Alimentos y canasta familiar;COMERCIO;58;0;0
185;118;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;27/10/21 13:45;INTERNET;SAS;NIT;tiene;2018;Cali;Valle del cauca;722;0;0;3;3;0;0;0;0;0;0.49;0.6;claro;FALSE;0;0;406;;;;2;;Windows;Materiales para construcci√≥n;MANUFACTURA;48;30;1
236;133;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;29/10/21 12:05;COMMERCIAL_ALLY;SAS;NIT;tiene;2014;Bogotá;Bogotá;630;0;0;1;2;0;0;0;0;0;0.7;0.56;claro;FALSE;0;0;619;;;0;2;;Windows;Software y servicios de internet;SERVICIOS;25;25;1
214;122;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;28/10/21 8:46;SOCIAL_NETWORKS;OTHER;NIT;tiene;2006;Cota;Cundinamarca;758;0;0;2;3;0;0;0;0;0;0.54;0.56;claro;FALSE;0;0;602;;;0;1;;Windows;Manufactura y procesamiento de qu√≠micos;MANUFACTURA;35;90;1
237;144;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;29/10/21 14:32;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2020;Medellín;Antioquia;543;0;0;2;1;0;0;0;0;0;0.43;0.45;claro;FALSE;0;0;325;;;0;3;;Windows;;;45;32;1
218;143;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;28/10/21 12:21;INTERNET;SAS;NIT;tiene;2020;Bogotá;Bogotá;627;0;0;3;2;0;0;0;0;0;0.72;0.61;claro;FALSE;0;0;567;;;0;4;;Windows;;;16;45;1
177;131;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 13:31;COMMERCIAL_ALLY;SAS;NIT;tiene;2013;Bogotá;Bogotá;736;1;1;2;2;0;0;0;0;0;0.67;0.59;claro;FALSE;0;0;478;;;0;3;;Windows;Ingenier√≠a;SERVICIOS;44;1;0
230;145;BUSINESS;STOLEN;STOLEN;5000;FAMILY_AND_FRIENDS;28/10/21 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;778;1;1;2;1;0;0;0;0;0;0.56;0.62;claro;FALSE;0;0;462;;;0;1;;Windows;Consultor√≠a empresarial;SERVICIOS;22;13;0
226;125;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;28/10/21 15:29;REFERRER;SAS;NIT;tiene;2012;Pereira;Risaralda;540;1;1;1;2;0;0;0;0;0;0.47;0.71;claro;FALSE;0;0;347;;;0;2;;Windows;Software y servicios de internet;SERVICIOS;41;0;0
205;121;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;2000;FAMILY_AND_FRIENDS;27/10/21 17:01;INTERNET;SAS;NIT;tiene;2020;Cali;Valle del cauca;620;1;1;3;1;0;0;0;0;0;0.33;0.3;claro;FALSE;0;0;275;;;0;2;;Windows;Educaci√≥n;SERVICIOS;32;2;0
197;117;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 15:51;COMMERCIAL_ALLY;SAS;NIT;tiene;2013;Bogotá;Bogotá;606;1;1;2;3;0;0;0;0;0;0.44;0.5;claro;FALSE;0;0;630;;;0;1;;Windows;Publicidad;SERVICIOS;25;5;0
246;180;BUSINESS;CANCELED;CANCELED;5000;FAMILY_AND_FRIENDS;29/10/21 17:24;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Bogotá;Bogotá;781;0;0;3;1;0;0;0;0;0;0.38;0.71;claro;FALSE;0;0;694;;;0;4;;Windows;Software y servicios de internet;SERVICIOS;68;52;1
203;190;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 16:19;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;615;1;1;2;1;0;0;0;0;0;0.51;0.61;claro;FALSE;0;0;584;;;0;2;;Windows;Textiles, cueros y prendas de vestir;MANUFACTURA;30;6;0
174;116;BUSINESS;SECURITY_LOCKED;SECURITY_LOCKED;10000;FAMILY_AND_FRIENDS;27/10/21 13:08;INTERNET;SAS;NIT;tiene;2018;Manizales;Caldas;701;0;0;2;1;0;0;0;0;0;0.4;0.54;claro;FALSE;0;0;525;;;0;5;;Windows;Software y servicios de internet;SERVICIOS;16;61;1
195;187;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 14:45;SOCIAL_NETWORKS;SAS;NIT;tiene;2006;Medellín;Antioquia;561;1;1;3;3;0;0;0;0;0;0.7;0.36;claro;FALSE;0;0;659;;;0;1;;Windows;Consultor√≠a empresarial;SERVICIOS;15;0;0
247;184;BUSINESS;ACTIVE;ACTIVE;2000;FAMILY_AND_FRIENDS;29/10/21 21:06;INTERNET;SAS;NIT;tiene;2016;Girón;Santander;569;0;0;1;2;0;0;0;0;0;0.41;0.28;claro;FALSE;0;0;657;;;0;3;;Windows;;;39;82;1
213;178;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;28/10/21 8:32;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2020;Bogotá;Bogotá;607;1;1;3;1;0;0;0;0;0;0.55;0.32;claro;FALSE;0;0;727;;;0;1;;Windows;;;69;1;0
220;168;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;5000;FAMILY_AND_FRIENDS;28/10/21 14:15;COMMUNICATION_MEDIA;SAS;NIT;tiene;2016;Pereira;Risaralda;701;0;0;2;3;0;0;0;0;0;0.7;0.51;claro;FALSE;0;0;330;;;0;2;;Windows;Construcci√≥n civil;SERVICIOS;28;120;1
130;208;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;15/10/21 16:09;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;791;0;0;2;2;0;0;0;0;0;0.54;0.28;claro;FALSE;0;0;529;;;;1;;Windows;;;76;101;1
230;145;BUSINESS;LOST;LOST;5000;FAMILY_AND_FRIENDS;28/10/21 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;719;1;1;3;3;0;0;0;0;0;0.43;0.63;claro;FALSE;0;0;738;;;0;1;;Windows;Consultor√≠a empresarial;SERVICIOS;80;13;0
209;134;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 23:18;INTERNET;SAS;NIT;tiene;2019;Cali;Valle del cauca;767;1;1;2;2;0;0;0;0;0;0.33;0.53;claro;FALSE;0;0;740;;;0;1;;Windows;Equipos y suministros m√©dicos;MANUFACTURA;59;15;0
176;113;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;27/10/21 13:25;SOCIAL_NETWORKS;SAS;NIT;tiene;2010;Bucaramanga;Santander;573;1;1;2;3;0;0;0;0;0;0.72;0.53;claro;FALSE;0;0;396;;;0;1;;Windows;Software y servicios de internet;SERVICIOS;21;0;0
186;109;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;27/10/21 13:48;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;738;0;0;2;3;0;0;0;0;0;0.55;0.47;claro;FALSE;0;0;377;;;0;2;;Windows;Publicidad;SERVICIOS;21;68;1
223;162;BUSINESS;FRAUDULENT;FRAUDULENT;5000;FAMILY_AND_FRIENDS;28/10/21 14:15;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;557;1;1;1;1;0;0;0;0;0;0.33;0.49;claro;FALSE;0;0;429;;;0;3;;Windows;;;31;0;0
157;123;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;5000;FAMILY_AND_FRIENDS;25/10/21 8:51;INTERNET;SAS;NIT;no tiene;2014;Bogotá;Bogotá;724;1;1;1;2;0;0;0;0;0;0.45;0.5;claro;FALSE;0;0;481;;;0;1;;Windows;;;67;0;0
187;142;BUSINESS;CANCELED;CANCELED;5000;FAMILY_AND_FRIENDS;27/10/21 13:59;COMMERCIAL_ALLY;SAS;NIT;tiene;2021;Bogotá;Bogotá;805;0;0;3;3;0;0;0;0;0;0.49;0.36;claro;FALSE;0;0;480;;;;1;;Windows;Restaurantes;SERVICIOS;23;334;1
223;162;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;28/10/21 14:15;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;535;1;1;2;1;0;0;0;0;0;0.52;0.58;claro;FALSE;0;0;706;;;0;3;;Windows;;;38;0;0
240;140;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;29/10/21 16:53;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2019;Bogotá;Bogotá;730;1;1;1;2;0;0;0;0;0;0.37;0.39;claro;FALSE;0;0;316;;;0;2;;Windows;Transporte y Log√≠stica;SERVICIOS;43;5;0
339;225;BUSINESS;CANCELED;CANCELED;10000;FAMILY_AND_FRIENDS;17/11/21 18:39;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2011;La estrella;Antioquia;665;0;0;2;3;0;0;0;0;0;0.45;0.74;claro;FALSE;0;0;500;;;;3;;Windows;Manufactura de materiales (metal, cemento, vidrio, acero, pl√°stico, caucho);MANUFACTURA;77;303;1
179;165;BUSINESS;CANCELED;CANCELED;10000;FAMILY_AND_FRIENDS;27/10/21 13:35;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;801;0;0;2;3;0;0;0;0;0;0.5;0.29;claro;FALSE;0;0;282;;;0;1;;Windows;Textiles, cueros y prendas de vestir;MANUFACTURA;14;394;1
178;139;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;27/10/21 13:34;INTERNET;SAS;NIT;tiene;2008;Bogotá;Bogotá;590;1;1;3;3;0;0;0;0;0;0.55;0.65;claro;FALSE;0;0;435;;;0;1;;Windows;Software y servicios de internet;SERVICIOS;56;3;0
230;145;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;28/10/21 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;717;1;1;3;1;0;0;0;0;0;0.48;0.25;claro;FALSE;0;0;285;;;0;1;;Windows;Consultor√≠a empresarial;SERVICIOS;72;13;0
171;158;BUSINESS;ACTIVE;ACTIVE;30000;FAMILY_AND_FRIENDS;27/10/21 12:58;KNOW_SOMEONE_FROM_SEMPLI;SAS;NIT;tiene;2020;Medellín;Antioquia;593;0;0;2;3;0;0;0;0;0;0.51;0.57;claro;FALSE;0;0;573;;;0;2;;Windows;Software y servicios de internet;SERVICIOS;70;21;1
239;138;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;29/10/21 16:43;SOCIAL_NETWORKS;SAS;NIT;tiene;2019;Bogotá;Bogotá;706;1;1;3;2;0;0;0;0;0;0.58;0.7;claro;FALSE;0;0;262;;;0;1;;Windows;Manufactura de materiales (metal, cemento, vidrio, acero, pl√°stico, caucho);MANUFACTURA;61;12;0
364;235;BUSINESS;ACTIVE;ACTIVE;30000;CURRENT_CUSTOMER;18/11/21 18:37;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;647;1;0;1;7;0;43693;0;2;0;0.46;0.56;claro;FALSE;0;0;743;264832;264832;;1;5;Windows;Ingenier√≠a;SERVICIOS;1;6;0
250;146;BUSINESS;CANCELED;CANCELED;10000;FAMILY_AND_FRIENDS;2/11/21 9:30;SOCIAL_NETWORKS;SAS;NIT;tiene;2016;Barranquilla;Atlántico;623;0;0;2;3;0;0;0;0;0;0.61;0.45;claro;FALSE;0;0;446;;;0;2;;Windows;;;13;516;1
254;151;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;2/11/21 12:47;SOCIAL_NETWORKS;SAS;NIT;no tiene;2020;Bogotá;Bogotá;592;0;0;3;2;0;0;0;0;0;0.61;0.3;claro;FALSE;0;0;710;;;0;2;;Windows;Tecnolog√≠a y suministros para empresa y hogar;COMERCIO;48;24;1
291;185;BUSINESS;CANCELED;CANCELED;20000;CURRENT_CUSTOMER;8/11/21 9:52;NEWSPAPERS;SAS;NIT;tiene;2003;Medellín;Antioquia;798;1;1;7;5;0;258440;0;16;0;0.59;0.42;claro;FALSE;0;0;280;2292323;;0;2;4;Windows;Consultor√≠a empresarial;SERVICIOS;37;0;0
274;170;BUSINESS;PENDING_ACTIVATION;ACTIVE;5000;FAMILY_AND_FRIENDS;3/11/21 20:19;SOCIAL_NETWORKS;SAS;NIT;tiene;2010;Bogotá;Bogotá;799;1;1;2;3;0;0;0;0;0;0.66;0.3;claro;FALSE;0;0;474;;;0;1;;Windows;Materiales para construcci√≥n;MANUFACTURA;35;0;0
251;157;BUSINESS;ACTIVE;ACTIVE;5000;FAMILY_AND_FRIENDS;2/11/21 10:42;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Barranquilla;Atlántico;765;1;1;1;1;0;0;0;0;0;0.42;0.47;claro;FALSE;0;0;525;;;;2;;Windows;;;11;5;0
